,nozzle,flow_rate,volume,z_min,z_max,r_max,droplets
0,Tri,197,7.42,2.19,4.08,1.0,1
1,Tri,197,3.71,1.73,3.22,0.79,1
2,Tri,197,2.92,2.37,3.75,0.74,1
3,Tri,197,3.45,6.67,8.12,0.78,1
4,Tri,197,4.3,2.44,4.01,0.84,1
5,Tri,197,5.31,2.19,3.89,0.9,1
6,Tri,197,6.74,1.67,3.51,0.97,1
7,Tri,197,6.58,1.49,3.35,0.96,1
8,Tri,197,3.24,2.66,4.07,0.77,1
9,Tri,197,2.9,2.82,4.19,0.73,1
10,Tri,197,8.65,4.55,7.04,0.91,1
11,Tri,197,6.2,2.0,3.79,0.94,1
0,Quad,160,4.92,2.05,3.7,0.88,1
1,Quad,160,4.11,2.59,4.14,0.83,1
2,Quad,160,2.46,3.89,5.18,0.7,1
3,Quad,160,4.57,1.41,3.03,0.85,1
4,Quad,160,5.65,2.96,4.71,0.91,1
5,Quad,160,5.17,5.63,7.37,0.88,1
6,Quad,160,4.28,4.34,5.98,0.83,1
7,Quad,160,3.93,2.32,3.86,0.81,1
8,Quad,160,5.45,5.48,7.42,0.9,1
0,Circ,145,4.97,4.23,6.04,0.87,1
1,Circ,145,4.76,5.89,7.58,0.86,1
2,Circ,145,5.01,3.4,5.06,0.88,1
3,Circ,145,4.94,6.44,8.1,0.87,2
4,Circ,145,4.68,1.72,3.37,0.86,1
5,Circ,145,4.58,0.88,2.52,0.85,1
6,Circ,145,5.18,3.68,5.41,0.88,1
7,Circ,145,4.75,6.35,7.99,0.86,1
8,Circ,145,4.67,6.11,7.84,0.85,2
9,Circ,145,4.6,2.31,3.97,0.85,1
10,Circ,145,5.02,1.08,2.74,0.88,1
11,Circ,145,5.49,2.36,4.13,0.9,1
